,Rank,Name,Team,Position,ProjectedPoints,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
0,1,Ja'Marr Chase,Cin,WR,338.9,WR,CIN,1.5,1.02,2264.0,1.0,5.0,0.8,10.0
1,2,Bijan Robinson,Atl,RB,335.9,RB,ATL,2.1,1.02,1632.0,1.0,5.0,0.8,5.0
2,3,Justin Jefferson,Min,WR,324.4,WR,MIN,4.8,1.05,1560.0,1.0,9.0,1.4,6.0
3,4,Saquon Barkley,Phi,RB,325.2,RB,PHI,2.6,1.03,894.0,1.0,6.0,1.0,9.0
4,5,Jahmyr Gibbs,Det,RB,317.2,RB,DET,4.6,1.05,2754.0,1.0,14.0,1.4,8.0
5,6,CeeDee Lamb,Dal,WR,315.1,WR,DAL,5.5,1.05,2020.0,1.0,12.0,1.5,10.0
6,7,Christian McCaffrey,SF,RB,318.0,RB,SF,7.1,1.07,2043.0,2.0,15.0,1.6,14.0
7,8,Puka Nacua,LAR,WR,310.0,WR,LAR,10.3,1.10,986.0,5.0,18.0,2.2,8.0
8,9,Malik Nabers,NYG,WR,300.2,WR,NYG,8.5,1.08,1341.0,3.0,16.0,1.8,14.0
9,10,Amon-Ra St. Brown,Det,WR,290.4,WR,DET,12.2,1.12,2472.0,5.0,22.0,2.7,8.0
10,11,Ashton Jeanty,LV,RB,297.9,RB,LV,11.1,1.11,2544.0,4.0,20.0,2.6,8.0
11,12,De'Von Achane,Mia,RB,306.2,RB,MIA,10.7,1.11,1056.0,3.0,20.0,2.9,12.0
12,13,Nico Collins,Hou,WR,279.1,WR,HOU,10.5,1.11,1955.0,5.0,18.0,2.1,6.0
13,14,Brian Thomas Jr.,Jax,WR,270.7,WR,JAX,14.7,2.03,1826.0,7.0,24.0,2.8,8.0
14,15,A.J. Brown,Phi,WR,275.5,WR,PHI,18.8,2.07,1331.0,12.0,30.0,2.5,9.0
15,16,Drake London,Atl,WR,267.6,WR,ATL,16.4,2.04,1795.0,9.0,27.0,2.5,5.0
16,17,Jonathan Taylor,Ind,RB,288.2,RB,IND,18.8,2.07,1778.0,11.0,28.0,2.9,11.0
17,18,Josh Jacobs,GB,RB,282.5,RB,GB,16.4,2.04,1614.0,9.0,28.0,2.8,5.0
18,19,Derrick Henry,Bal,RB,280.8,RB,BAL,11.7,1.12,2949.0,3.0,21.0,2.9,7.0
19,20,Brock Bowers,LV,TE,261.2,TE,LV,27.1,3.03,3131.0,13.0,44.0,5.1,8.0
20,21,Trey McBride,Ari,TE,259.3,TE,ARI,31.4,3.07,1818.0,19.0,43.0,4.6,8.0
21,22,Bucky Irving,TB,RB,282.6,RB,TB,18.8,2.07,2221.0,10.0,30.0,3.2,9.0
22,23,Chase Brown,Cin,RB,281.0,RB,CIN,21.1,2.09,3561.0,11.0,33.0,3.5,10.0
23,24,Tee Higgins,Cin,WR,264.5,WR,CIN,22.5,2.10,555.0,13.0,36.0,3.6,10.0
24,25,Tyreek Hill,Mia,WR,263.0,WR,MIA,25.8,3.02,1271.0,15.0,41.0,3.9,12.0
