,Rank,Name,Team,Position,ProjectedPoints,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
0,1,Ja'Marr Chase,Cin,WR,352.9,WR,CIN,1.5,1.02,843.0,1.0,4.0,0.7,10.0
1,2,Bijan Robinson,Atl,RB,335.8,RB,ATL,2.1,1.02,589.0,1.0,4.0,0.8,5.0
2,3,Justin Jefferson,Min,WR,323.5,WR,MIN,4.8,1.05,1018.0,1.0,9.0,1.3,6.0
3,4,Saquon Barkley,Phi,RB,325.1,RB,PHI,2.3,1.02,361.0,1.0,5.0,0.8,9.0
4,5,Jahmyr Gibbs,Det,RB,317.1,RB,DET,4.2,1.04,1094.0,1.0,8.0,1.0,8.0
5,6,CeeDee Lamb,Dal,WR,315.5,WR,DAL,5.9,1.06,761.0,2.0,10.0,1.3,10.0
6,7,Christian McCaffrey,SF,RB,322.1,RB,SF,7.7,1.08,828.0,2.0,16.0,2.1,14.0
7,8,Puka Nacua,LAR,WR,310.0,WR,LAR,8.1,1.08,502.0,3.0,16.0,1.7,8.0
8,9,Amon-Ra St. Brown,Det,WR,290.3,WR,DET,13.2,2.01,1088.0,6.0,22.0,2.6,8.0
9,10,Malik Nabers,NYG,WR,300.0,WR,NYG,9.9,1.10,644.0,3.0,16.0,2.3,14.0
10,11,Ashton Jeanty,LV,RB,297.9,RB,LV,10.6,1.11,1012.0,3.0,19.0,2.8,8.0
11,12,De'Von Achane,Mia,RB,306.1,RB,MIA,8.0,1.08,483.0,2.0,13.0,2.0,12.0
12,13,Nico Collins,Hou,WR,277.9,WR,HOU,12.5,2.01,704.0,7.0,19.0,2.0,6.0
13,14,A.J. Brown,Phi,WR,275.5,WR,PHI,20.8,2.09,1023.0,12.0,32.0,3.1,9.0
14,15,Brian Thomas Jr.,Jax,WR,270.7,WR,JAX,15.8,2.04,662.0,8.0,24.0,2.9,8.0
15,16,Drake London,Atl,WR,266.8,WR,ATL,19.4,2.07,678.0,10.0,31.0,3.2,5.0
16,17,Jonathan Taylor,Ind,RB,296.8,RB,IND,17.6,2.06,730.0,10.0,28.0,2.8,11.0
17,18,Josh Jacobs,GB,RB,282.2,RB,GB,14.6,2.03,494.0,8.0,21.0,2.5,5.0
18,19,Bucky Irving,TB,RB,282.6,RB,TB,16.6,2.05,568.0,10.0,24.0,2.5,9.0
19,20,Derrick Henry,Bal,RB,280.7,RB,BAL,9.0,1.09,965.0,2.0,16.0,2.4,7.0
20,21,Brock Bowers,LV,TE,261.0,TE,LV,29.0,3.05,1380.0,16.0,43.0,4.6,8.0
21,22,Kyren Williams,LAR,RB,279.2,RB,LAR,20.0,2.08,666.0,12.0,28.0,2.9,8.0
22,23,Trey McBride,Ari,TE,259.3,TE,ARI,32.4,3.08,636.0,19.0,44.0,4.9,8.0
23,24,Tee Higgins,Cin,WR,265.0,WR,CIN,24.0,2.12,221.0,15.0,32.0,3.1,10.0
24,25,Ladd McConkey,LAC,WR,262.4,WR,LAC,20.7,2.09,552.0,11.0,31.0,3.4,12.0
25,26,Tyreek Hill,Mia,WR,262.9,WR,MIA,27.5,3.03,987.0,15.0,41.0,4.6,12.0
26,27,Davante Adams,LAR,WR,257.0,WR,LAR,29.0,3.05,494.0,18.0,44.0,4.1,8.0
27,28,Josh Allen,Buf,QB,365.3,QB,BUF,23.0,2.11,632.0,11.0,33.0,4.6,7.0
28,29,Lamar Jackson,Bal,QB,362.6,QB,BAL,19.3,2.07,595.0,8.0,28.0,4.0,7.0
29,30,Jayden Daniels,Wsh,QB,367.3,QB,WAS,32.6,3.09,477.0,17.0,49.0,5.7,12.0
30,31,Jalen Hurts,Phi,QB,364.5,QB,PHI,40.8,4.05,656.0,23.0,57.0,6.5,9.0
31,32,Chase Brown,Cin,RB,271.0,RB,CIN,25.2,3.01,1297.0,14.0,37.0,4.0,10.0
32,33,James Cook,Buf,RB,268.5,RB,BUF,28.6,3.05,637.0,17.0,42.0,4.2,7.0
33,34,Terry McLaurin,Wsh,WR,246.8,WR,WAS,36.5,4.01,526.0,22.0,52.0,5.6,12.0
34,35,Garrett Wilson,NYJ,WR,240.6,WR,NYJ,43.1,4.07,1031.0,26.0,60.0,6.2,9.0
35,36,Kenneth Walker III,Sea,RB,263.7,RB,SEA,39.1,4.03,899.0,26.0,53.0,4.9,8.0
36,37,Jaxon Smith-Njigba,Sea,WR,243.0,WR,SEA,39.0,4.03,635.0,24.0,54.0,5.6,8.0
37,38,Alvin Kamara,NO,RB,264.8,RB,NO,26.1,3.02,356.0,16.0,36.0,3.7,11.0
38,39,Omarion Hampton,LAC,RB,247.3,RB,LAC,46.8,4.11,1140.0,31.0,64.0,5.9,12.0
39,40,Joe Burrow,Cin,QB,328.8,QB,CIN,28.5,3.05,363.0,14.0,43.0,5.2,10.0
40,41,George Kittle,SF,TE,225.4,TE,SF,43.9,4.08,743.0,30.0,57.0,5.2,14.0
41,42,Chuba Hubbard,Car,RB,257.3,RB,CAR,38.8,4.03,472.0,26.0,55.0,4.7,14.0
42,43,James Conner,Ari,RB,261.4,RB,ARI,37.1,4.01,355.0,26.0,49.0,4.2,8.0
43,44,Marvin Harrison Jr.,Ari,WR,240.0,WR,ARI,42.2,4.06,832.0,28.0,58.0,5.1,8.0
44,45,Joe Mixon,Hou,RB,255.5,RB,HOU,40.9,4.05,442.0,26.0,54.0,5.5,6.0
45,46,Breece Hall,NYJ,RB,233.1,RB,NYJ,30.5,3.07,535.0,19.0,40.0,4.1,9.0
46,47,Mike Evans,TB,WR,237.2,WR,TB,36.6,4.01,661.0,23.0,57.0,5.2,9.0
47,48,DK Metcalf,Pit,WR,239.9,WR,PIT,47.3,4.11,662.0,35.0,61.0,4.5,5.0
48,49,Xavier Worthy,KC,WR,239.2,WR,KC,53.4,5.05,374.0,38.0,76.0,5.7,10.0
49,50,DJ Moore,Chi,WR,238.2,WR,CHI,46.5,4.11,323.0,33.0,59.0,4.9,5.0
50,51,Rashee Rice,KC,WR,207.2,WR,KC,48.1,4.12,749.0,18.0,88.0,14.7,10.0
51,52,D'Andre Swift,Chi,RB,225.7,RB,CHI,53.9,5.06,776.0,40.0,69.0,5.1,5.0
52,53,Zay Flowers,Bal,WR,232.1,WR,BAL,56.8,5.09,462.0,40.0,80.0,6.1,7.0
53,54,Courtland Sutton,Den,WR,228.1,WR,DEN,52.9,5.05,631.0,41.0,70.0,4.4,12.0
54,55,Calvin Ridley,Ten,WR,230.3,WR,TEN,65.5,6.06,689.0,46.0,88.0,7.4,10.0
55,56,DeVonta Smith,Phi,WR,222.9,WR,PHI,51.2,5.03,301.0,39.0,67.0,4.4,9.0
56,57,Sam LaPorta,Det,TE,191.5,TE,DET,62.1,6.02,544.0,38.0,88.0,9.2,8.0
57,58,Jaylen Waddle,Mia,WR,225.8,WR,MIA,69.9,6.10,502.0,48.0,94.0,8.3,12.0
58,59,Jerry Jeudy,Cle,WR,228.0,WR,CLE,61.1,6.01,333.0,45.0,78.0,6.6,9.0
59,60,Jameson Williams,Det,WR,218.5,WR,DET,71.8,6.12,724.0,44.0,98.0,10.3,8.0
60,61,George Pickens,Dal,WR,220.0,WR,DAL,67.1,6.07,762.0,43.0,89.0,8.9,10.0
61,62,Patrick Mahomes,KC,QB,324.6,QB,KC,53.2,5.05,306.0,35.0,69.0,6.7,10.0
62,63,Rome Odunze,Chi,WR,217.2,WR,CHI,84.7,8.01,454.0,63.0,103.0,8.0,5.0
63,64,Baker Mayfield,TB,QB,310.6,QB,TB,51.0,5.03,157.0,34.0,66.0,6.4,9.0
64,65,Kaleb Johnson,Pit,RB,217.1,RB,PIT,71.8,6.12,641.0,51.0,92.0,7.8,5.0
65,66,Aaron Jones Sr.,Min,RB,217.4,RB,MIN,51.6,5.04,590.0,37.0,67.0,5.4,6.0
66,67,Travis Hunter,Jax,"WR, CB",213.2,WR,JAX,73.8,7.02,524.0,50.0,94.0,8.9,8.0
67,68,David Montgomery,Det,RB,213.4,RB,DET,56.4,5.08,575.0,42.0,71.0,5.4,8.0
68,69,TreVeyon Henderson,NE,RB,212.6,RB,NE,64.0,6.04,665.0,46.0,82.0,6.7,14.0
69,70,T.J. Hockenson,Min,TE,183.6,TE,MIN,75.2,7.03,291.0,51.0,96.0,9.0,6.0
70,71,Tetairoa McMillan,Car,WR,213.7,WR,CAR,76.1,7.04,673.0,50.0,99.0,9.8,14.0
71,72,RJ Harvey,Den,RB,208.6,RB,DEN,63.1,6.03,723.0,43.0,92.0,7.5,12.0
72,73,Chris Godwin,TB,WR,192.8,WR,TB,58.5,5.11,348.0,40.0,85.0,6.8,9.0
73,74,Jakobi Meyers,LV,WR,218.5,WR,LV,65.3,6.05,334.0,45.0,87.0,7.6,8.0
74,75,Chris Olave,NO,WR,206.8,WR,NO,80.7,7.09,470.0,57.0,101.0,8.9,11.0
75,76,Matthew Golden,GB,WR,203.9,WR,GB,103.8,9.08,213.0,85.0,121.0,7.7,5.0
76,77,Cooper Kupp,Sea,WR,204.3,WR,SEA,92.7,8.09,612.0,69.0,115.0,8.9,8.0
77,78,Stefon Diggs,NE,WR,200.7,WR,NE,93.5,8.10,569.0,67.0,120.0,9.9,14.0
78,79,Jordan Addison,Min,WR,189.8,WR,MIN,81.6,7.10,280.0,45.0,110.0,13.7,6.0
79,80,Tony Pollard,Ten,RB,210.3,RB,TEN,59.8,5.12,311.0,44.0,74.0,5.8,10.0
80,81,Isiah Pacheco,KC,RB,210.2,RB,KC,75.6,7.04,841.0,52.0,99.0,8.8,10.0
81,82,Javonte Williams,Dal,RB,212.1,RB,DAL,92.7,8.09,493.0,68.0,116.0,9.3,10.0
82,83,Travis Kelce,KC,TE,176.3,TE,KC,64.9,6.05,323.0,40.0,90.0,9.3,10.0
83,84,David Njoku,Cle,TE,173.3,TE,CLE,78.4,7.06,86.0,59.0,94.0,7.4,9.0
84,85,Cam Skattebo,NYG,RB,155.5,RB,NYG,97.4,9.01,317.0,73.0,120.0,9.4,14.0
85,86,Mark Andrews,Bal,TE,170.8,TE,BAL,84.4,7.12,210.0,51.0,145.0,12.8,7.0
86,87,Evan Engram,Den,TE,169.0,TE,DEN,98.9,9.03,501.0,62.0,148.0,14.7,12.0
87,88,Bo Nix,Den,QB,301.7,QB,DEN,69.6,6.10,385.0,44.0,96.0,9.8,12.0
88,89,Kyler Murray,Ari,QB,306.1,QB,ARI,86.4,8.02,379.0,58.0,112.0,10.6,8.0
89,90,Brock Purdy,SF,QB,306.1,QB,SF,77.3,7.05,117.0,56.0,100.0,10.1,14.0
90,91,Tyrone Tracy Jr.,NYG,RB,197.5,RB,NYG,84.3,7.12,431.0,56.0,120.0,10.8,14.0
91,92,Brian Robinson Jr.,Wsh,RB,199.4,RB,WAS,76.8,7.05,479.0,56.0,94.0,7.7,12.0
92,93,Jaylen Warren,Pit,RB,194.7,RB,PIT,75.6,7.04,185.0,56.0,92.0,7.2,5.0
93,94,Rhamondre Stevenson,NE,RB,179.5,RB,NE,112.0,10.04,408.0,77.0,147.0,13.3,14.0
94,95,J.K. Dobbins,Den,RB,167.0,RB,DEN,118.4,10.10,538.0,78.0,150.0,15.5,12.0
95,96,Khalil Shakir,Buf,WR,206.6,WR,BUF,81.9,7.10,398.0,58.0,101.0,8.9,7.0
96,97,Keon Coleman,Buf,WR,191.1,WR,BUF,111.6,10.04,242.0,87.0,140.0,9.1,7.0
97,98,Jauan Jennings,SF,WR,203.8,WR,SF,72.5,6.12,428.0,49.0,93.0,8.7,14.0
98,99,Deebo Samuel Sr.,Wsh,WR,201.2,WR,WAS,78.0,7.06,527.0,54.0,96.0,9.0,12.0
