,Rank,Name,Team,Position,ProjectedPoints,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
0,1,Ja'Marr Chase,Cin,WR,339.5,WR,CIN,1.5,1.02,1800.0,1.0,5.0,0.8,10.0
1,2,Bijan Robinson,Atl,RB,335.7,RB,ATL,2.1,1.02,1240.0,1.0,5.0,0.8,5.0
2,3,Justin Jefferson,Min,WR,316.2,WR,MIN,4.4,1.04,1070.0,2.0,10.0,1.2,6.0
3,4,Saquon Barkley,Phi,RB,324.9,RB,PHI,2.5,1.02,661.0,1.0,6.0,1.0,9.0
4,5,Jahmyr Gibbs,Det,RB,317.5,RB,DET,5.1,1.05,2583.0,1.0,10.0,1.6,8.0
5,6,Christian McCaffrey,SF,RB,318.8,RB,SF,8.0,1.08,2001.0,3.0,14.0,1.9,14.0
6,7,CeeDee Lamb,Dal,WR,314.6,WR,DAL,4.9,1.05,1378.0,1.0,10.0,1.5,10.0
7,8,Malik Nabers,NYG,WR,300.5,WR,NYG,7.5,1.08,995.0,3.0,14.0,1.7,14.0
8,9,Puka Nacua,LAR,WR,299.0,WR,LAR,9.7,1.10,666.0,4.0,17.0,2.1,8.0
9,10,Ashton Jeanty,LV,RB,299.4,RB,LV,11.7,1.12,2026.0,5.0,19.0,2.4,8.0
10,11,Amon-Ra St. Brown,Det,WR,290.8,WR,DET,10.7,1.11,1674.0,5.0,20.0,2.1,8.0
11,12,De'Von Achane,Mia,RB,306.4,RB,MIA,14.1,2.02,999.0,8.0,23.0,2.3,12.0
12,13,Nico Collins,Hou,WR,289.3,WR,HOU,10.0,1.10,1404.0,5.0,16.0,1.9,6.0
13,14,Brian Thomas Jr.,Jax,WR,270.3,WR,JAX,14.7,2.03,1540.0,7.0,23.0,2.9,8.0
14,15,A.J. Brown,Phi,WR,275.4,WR,PHI,17.9,2.06,1073.0,10.0,28.0,2.8,9.0
15,16,Drake London,Atl,WR,267.1,WR,ATL,15.4,2.03,1469.0,9.0,23.0,2.5,5.0
